image_name,number,x,y,left_diam,right_diam,time
mosob01.jpg,1,470,537,4.0,3.9000000000000004,0.011
mosob01.jpg,2,470,536,4.0,3.9000000000000004,0.028
mosob01.jpg,3,470,536,4.0,3.9000000000000004,0.045
mosob01.jpg,4,470,536,4.0,3.9000000000000004,0.061
mosob01.jpg,5,471,536,4.0,3.9000000000000004,0.078
mosob01.jpg,6,471,535,4.0,3.9000000000000004,0.095
mosob01.jpg,7,472,535,4.0,3.9000000000000004,0.111
mosob01.jpg,8,472,535,4.0,3.9000000000000004,0.128
mosob01.jpg,9,473,535,4.0,3.9000000000000004,0.145
mosob01.jpg,10,474,535,4.0,3.9000000000000004,0.161
mosob01.jpg,11,475,535,4.0,3.9000000000000004,0.178
mosob01.jpg,12,476,535,4.0,4.0,0.195
mosob01.jpg,13,478,535,4.0,3.9000000000000004,0.211
mosob01.jpg,14,479,535,4.0,3.9000000000000004,0.228
mosob01.jpg,15,477,534,4.1000000000000005,4.0,0.245
mosob01.jpg,16,473,532,4.1000000000000005,4.0,0.261
mosob01.jpg,17,465,528,4.1000000000000005,4.0,0.278
mosob01.jpg,18,455,525,4.1000000000000005,4.0,0.295
mosob01.jpg,19,445,520,4.2,4.0,0.311
mosob01.jpg,20,436,516,4.1000000000000005,4.0,0.328
mosob01.jpg,21,426,512,4.1000000000000005,4.0,0.345
mosob01.jpg,22,416,508,4.2,4.0,0.361
mosob01.jpg,23,410,505,4.1000000000000005,4.1000000000000005,0.378
mosob01.jpg,24,396,499,4.1000000000000005,4.1000000000000005,0.395
mosob01.jpg,25,386,495,4.2,4.0,0.411
mosob01.jpg,26,375,490,4.2,4.0,0.428
mosob01.jpg,27,364,485,4.2,4.0,0.445
mosob01.jpg,28,353,480,4.1000000000000005,4.0,0.461
mosob01.jpg,29,343,476,4.1000000000000005,4.0,0.478
mosob01.jpg,30,332,471,4.1000000000000005,4.0,0.495
mosob01.jpg,31,321,467,4.1000000000000005,4.0,0.511
mosob01.jpg,32,309,463,4.1000000000000005,4.0,0.528
mosob01.jpg,33,297,459,4.1000000000000005,4.0,0.545
mosob01.jpg,34,284,453,4.1000000000000005,4.0,0.561
mosob01.jpg,35,273,448,4.1000000000000005,4.0,0.578
mosob01.jpg,36,263,444,4.1000000000000005,3.9000000000000004,0.595
mosob01.jpg,37,256,441,4.1000000000000005,3.9000000000000004,0.611
mosob01.jpg,38,252,438,4.1000000000000005,3.9000000000000004,0.628
mosob01.jpg,39,247,437,4.1000000000000005,3.9000000000000004,0.645
mosob01.jpg,40,242,435,4.1000000000000005,3.9000000000000004,0.661
mosob01.jpg,41,236,432,4.1000000000000005,4.0,0.678
mosob01.jpg,42,231,430,4.1000000000000005,4.0,0.695
mosob01.jpg,43,226,427,4.1000000000000005,4.0,0.711
mosob01.jpg,44,221,425,4.1000000000000005,4.0,0.728
mosob01.jpg,45,215,423,4.2,4.0,0.745
mosob01.jpg,46,210,420,4.2,4.0,0.761
mosob01.jpg,47,205,418,4.2,4.0,0.778
mosob01.jpg,48,200,416,4.2,4.0,0.795
mosob01.jpg,49,196,414,4.2,4.0,0.811
mosob01.jpg,50,192,412,4.2,4.1000000000000005,0.828
mosob01.jpg,51,189,410,4.2,4.1000000000000005,0.845
mosob01.jpg,52,185,408,4.2,4.1000000000000005,0.861
mosob01.jpg,53,181,406,4.2,4.1000000000000005,0.878
mosob01.jpg,54,179,405,4.3,4.1000000000000005,0.895
mosob01.jpg,55,177,405,4.3,4.1000000000000005,0.911
mosob01.jpg,56,177,406,4.3,4.1000000000000005,0.928
